locus_tag,gene,product,strand,prom_start,prom_end,prom_length,gc_content
Rv0599c,vapB27,antitoxin VapB27,-,697800,697903,103,0.6504854368932039
Rv0600c,,two component sensor kinase HK1,-,698410,698523,113,0.7522123893805309
Rv0602c,tcrA,two component DNA binding transcriptional regulator TcrA,-,699799,699855,56,0.625
Rv0603,,hypothetical protein,+,699799,699855,56,0.625
Rv0604,lpqO,lipoprotein LpqO,+,700167,700238,71,0.6901408450704225
Rv0605,,IS1536 family serine type transposase,+,701189,701429,240,0.6875
Rv0607,,hypothetical protein,+,702512,702812,300,0.6833333333333333
Rv0609,vapC28,ribonuclease VapC28,+,703199,703485,286,0.6153846153846154
Rv0610c,,hypothetical protein,-,705909,705960,51,0.6470588235294118
Rv0611c,,hypothetical protein,-,706182,706323,141,0.624113475177305
Rv0612,,hypothetical protein,+,706182,706323,141,0.624113475177305
Rv0613c,,hypothetical protein,-,709515,709598,83,0.7108433734939759
Rv0614,,hypothetical protein,+,709515,709598,83,0.7108433734939759
Rv0616A,vapB29,antitoxin VapB29,+,710587,710781,194,0.6649484536082474
Rv0617,vapC29,ribonuclease VapC29,+,710705,711005,300,0.63
Rv0620,galK,galactokinase,+,712415,712715,300,0.62
Rv0621,,membrane protein,+,713901,714201,300,0.66
Rv0622,,membrane protein,+,715266,715369,103,0.6310679611650486
Rv0623,vapB30,antitoxin VapB30,+,716317,716409,92,0.5652173913043478
Rv0624,vapC30,ribonuclease VapC30,+,716363,716663,300,0.6533333333333333
Rv0625c,,transmembrane protein,-,717893,718024,131,0.6946564885496184
Rv0626,vapB5,antitoxin VapB5,+,717893,718024,131,0.6946564885496184
Rv0627,vapC5,ribonuclease VapC5,+,717981,718281,300,0.6833333333333333
Rv0628c,,hypothetical protein,-,719912,720004,92,0.6304347826086957
Rv0631c,recC,exonuclease V subunit gamma RecC,-,728306,728582,276,0.6304347826086957
Rv0633c,,hypothetical protein,-,730166,730319,153,0.6535947712418301
Rv0634c,,glyoxalase II,-,731033,731112,79,0.620253164556962
Rv0634A,,hypothetical protein,+,731033,731112,79,0.620253164556962
Rv0634B,rpmG2,50S ribosomal protein L33,+,731411,731711,300,0.61
Rv0635,hadA,(3R)-hydroxyacyl-ACP dehydratase subunit HadA,+,731879,731929,50,0.62
Rv0638,secE1,preprotein translocase SecE,+,733436,733736,300,0.63
Rv0640,rplK,50S ribosomal protein L11,+,734970,735021,51,0.6078431372549019
Rv0641,rplA,50S ribosomal protein L1,+,735450,735516,66,0.6060606060606061
Rv0642c,mmaA4,hydroxymycolate synthase MmaA4,-,737203,737267,64,0.59375
Rv0643c,mmaA3,methoxy mycolic acid synthase MmaA3,-,738149,738296,147,0.6394557823129252
Rv0644c,mmaA2,cyclopropane mycolic acid synthase CmaA,-,739160,739326,166,0.608433734939759
Rv0647c,,hypothetical protein,-,742617,742718,101,0.6534653465346535
Rv0648,,alpha-mannosidase,+,742617,742718,101,0.6534653465346535
Rv0651,rplJ,50S ribosomal protein L10,+,747975,748275,300,0.6866666666666666
Rv0653c,,transcriptional regulator,-,749929,749999,70,0.45714285714285713
Rv0654,,carotenoid cleavage oxygenase,+,749929,749999,70,0.45714285714285713
Rv0656c,vapC6,ribonuclease VapC6,-,753367,753461,94,0.6170212765957447
Rv0657c,vapB6,antitoxin VapB6,-,753617,753692,75,0.52
Rv0658c,,integral membrane protein,-,754409,754684,275,0.6654545454545454
Rv0659c,mazF2,toxin MazF2,-,754993,755293,300,0.6866666666666666
Rv0660c,mazE2,antitoxin MazE2,-,755225,755334,109,0.6513761467889908
Rv0661c,vapC7,ribonuclease VapC7,-,755772,756072,300,0.7
Rv0662c,vapB7,antitoxin VapB7,-,756023,756136,113,0.6017699115044248
Rv0663,atsD,arylsulfatase AtsD,+,756023,756136,113,0.6017699115044248
Rv0665,vapC8,ribonuclease VapC8,+,758500,758800,300,0.6666666666666666
Rv0667,rpoB,DNA-directed RNA polymerase subunit beta,+,759506,759806,300,0.5966666666666667
Rv0669c,,neutral ceramidase,-,769597,769791,194,0.6082474226804123
Rv0670,end,endonuclease IV,+,769597,769791,194,0.6082474226804123
Rv0672,fadE8,acyl-CoA dehydrogenase FadE8,+,771424,771483,59,0.423728813559322
Rv0677c,mmpS5,membrane protein MmpS5,-,778905,778989,84,0.5595238095238095
Rv0678,,hypothetical protein,+,778905,778989,84,0.5595238095238095
Rv0680c,,transmembrane protein,-,780416,780716,300,0.6666666666666666
Rv0681,,transcriptional regulator,+,780420,780720,300,0.6633333333333333
Rv0682,rpsL,30S ribosomal protein S12,+,781311,781559,248,0.6290322580645161
Rv0684,fusA1,elongation factor G,+,782404,782484,80,0.55
Rv0685,tuf,elongation factor Tu,+,784590,784820,230,0.5565217391304348
Rv0686,,membrane protein,+,786011,786148,137,0.6131386861313869
Rv0687,,NAD-dependent oxidoreductase,+,786946,787098,152,0.6447368421052632
Rv0689c,,hypothetical protein,-,789411,789711,300,0.6533333333333333
Rv0691c,,mycofactocin biosynthesis transcriptional regulator MftR,-,791666,791756,90,0.5555555555555556
Rv0691A,,mycofactocin precursor,+,791666,791756,90,0.5555555555555556
Rv0692,,mycofactocin system protein MftB,+,791666,791830,164,0.5487804878048781
Rv0695,,mycofactocin system creatinine amidohydrolase family protein MftE,+,794525,794714,189,0.5396825396825397
Rv0698,,hypothetical protein,+,798532,798832,300,0.6466666666666666
Rv0699,,hypothetical protein,+,799444,799628,184,0.6739130434782609
Rv0700,rpsJ,30S ribosomal protein S10,+,800186,800486,300,0.6666666666666666
Rv0704,rplB,50S ribosomal protein L2,+,802435,802527,92,0.6304347826086957
Rv0706,rplV,50S ribosomal protein L22,+,803388,803688,300,0.5833333333333334
Rv0710,rpsQ,30S ribosomal protein S17,+,805526,805755,229,0.6244541484716157
Rv0711,atsA,arylsulfatase AtsA,+,806166,806334,168,0.6190476190476191
Rv0713,,transmembrane protein,+,809645,809945,300,0.65
Rv0714,rplN,50S ribosomal protein L14,+,811072,811372,300,0.6066666666666667
Rv0718,rpsH,30S ribosomal protein S8,+,812812,812975,163,0.6625766871165644
Rv0723,rplO,50S ribosomal protein L15,+,814990,815189,199,0.6231155778894473
Rv0725c,,hypothetical protein,-,818444,818536,92,0.6847826086956522
Rv0726c,,S-adenosylmethionine-dependent methyltransferase,-,819640,819842,202,0.6039603960396039
Rv0731c,,S-adenosylmethionine-dependent methyltransferase,-,824639,824799,160,0.6375
Rv0732,secY,preprotein translocase SecY,+,824639,824799,160,0.6375
Rv0735,sigL,ECF RNA polymerase sigma factor SigL,+,827470,827542,72,0.6388888888888888
Rv0736,rslA,anti-sigma-L factor RslA,+,828076,828139,63,0.6349206349206349
Rv0737,,transcriptional regulator,+,828906,829206,300,0.67
Rv0738,,hypothetical protein,+,829761,830061,300,0.66
Rv0739,,hypothetical protein,+,830610,830854,244,0.6926229508196722
Rv0740,,hypothetical protein,+,831661,831775,114,0.6228070175438597
Rv0742,,hypothetical protein,+,832680,832980,300,0.6166666666666667
Rv0744c,,transcriptional regulator,-,834946,835153,207,0.6328502415458938
Rv0745,,hypothetical protein,+,834946,835153,207,0.6328502415458938
Rv0747,PE_PGRS10,PE-PGRS family protein PE_PGRS10,+,838150,838450,300,0.68
Rv0748,vapB31,antitoxin VapB31,+,840856,840946,90,0.6777777777777778
Rv0749A,,hypothetical protein,-,841874,842032,158,0.6075949367088608
Rv0750,,hypothetical protein,+,841874,842032,158,0.6075949367088608
Rv0753c,mmsA,methylmalonate-semialdehyde dehydrogenase,-,845953,846158,205,0.6195121951219512
Rv0754,PE_PGRS11,PE-PGRS family protein PE_PGRS11,+,845953,846158,205,0.6195121951219512
Rv0755c,PPE12,PPE family protein PPE12,-,850040,850340,300,0.6166666666666667
Rv0756c,,hypothetical protein,-,851466,851607,141,0.5177304964539007
Rv0757,phoP,two component system response transcriptional positive regulator PhoP,+,851466,851607,141,0.5177304964539007
Rv0759c,,hypothetical protein,-,854157,854266,109,0.5963302752293578
Rv0761c,adhB,alcohol dehydrogenase B,-,855826,855924,98,0.6122448979591837
Rv0767c,,HTH-type transcriptional regulator,-,860710,860911,201,0.582089552238806
Rv0768,aldA,aldehyde dehydrogenase AldA,+,860710,860911,201,0.582089552238806
Rv0770,,oxidoreductase,+,863158,863255,97,0.7731958762886598
Rv0773c,ggtA,bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase,-,867389,867439,50,0.7
Rv0774c,,hypothetical protein,-,868351,868406,55,0.5454545454545454
Rv0775,,hypothetical protein,+,868351,868406,55,0.5454545454545454
Rv0776c,,hypothetical protein,-,869763,870007,244,0.6598360655737705
Rv0777,purB,adenylosuccinate lyase PurB,+,869763,870007,244,0.6598360655737705
Rv0779c,,transmembrane protein,-,873292,873342,50,0.7
Rv0780,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,+,873292,873342,50,0.7
Rv0783c,emrB,multidrug resistance protein EmrB,-,878440,878637,197,0.6446700507614214
Rv0784,,hypothetical protein,+,878440,878637,197,0.6446700507614214
Rv0787A,,hypothetical protein,+,882418,882523,105,0.7619047619047619
Rv0788,purQ,phosphoribosylformylglycinamidine synthase,+,882459,882759,300,0.6466666666666666
Rv0792c,,transcriptional regulator,-,886646,886718,72,0.5277777777777778
Rv0793,,monooxygenase,+,886646,886718,72,0.5277777777777778
Rv0794c,,oxidoreductase,-,888636,888936,300,0.6166666666666667
Rv0797,,insertion sequence element IS1547 transposase,+,890087,890387,300,0.6366666666666667
Rv0802c,,succinyl-CoA transferase,-,895628,895819,191,0.675392670157068
Rv0803,purL,phosphoribosylformylglycinamidine synthase 2,+,895628,895819,191,0.675392670157068
Rv0805,,"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA",+,898710,898830,120,0.625
Rv0806c,cpsY,exopolysaccharide phosphotransferase CpsY,-,901330,901630,300,0.5766666666666667
Rv0807,,hypothetical protein,+,901334,901634,300,0.57
Rv0808,purF,amidophosphoribosyltransferase,+,902024,902110,86,0.6744186046511628
Rv0810c,,hypothetical protein,-,905087,905233,146,0.6712328767123288
Rv0811c,,hypothetical protein,-,906340,906422,82,0.6097560975609756
Rv0812,,4-amino-4-deoxychorismate lyase,+,906340,906422,82,0.6097560975609756
Rv0813c,,hypothetical protein,-,908018,908180,162,0.6481481481481481
Rv0815c,cysA2,thiosulfate sulfurtransferase CysA,-,909318,909610,292,0.613013698630137
Rv0817c,,hypothetical protein,-,910842,910971,129,0.6589147286821705
Rv0818,,transcriptional regulator,+,910842,910971,129,0.6589147286821705
Rv0821c,phoY2,phosphate-transport system transcriptional regulator PhoY2,-,914199,914256,57,0.543859649122807
Rv0822c,,hypothetical protein,-,916311,916476,165,0.6424242424242425
Rv0823c,,tRNA-dihydrouridine synthase,-,917646,917733,87,0.735632183908046
Rv0824c,desA1,acyl-ACP desaturase DesA,-,918750,918911,161,0.6149068322981367
Rv0825c,,hypothetical protein,-,919553,919633,80,0.475
Rv0826,,hypothetical protein,+,919553,919633,80,0.475
Rv0827c,kmtR,HTH-type transcriptional regulator KmtR,-,921133,921190,57,0.6842105263157895
Rv0828c,,deaminase,-,921613,921913,300,0.6433333333333333
Rv0830,,S-adenosylmethionine-dependent methyltransferase,+,921669,921969,300,0.6233333333333333
Rv0831c,,hypothetical protein,-,923709,924009,300,0.61
Rv0832,PE_PGRS12,PE-PGRS family protein PE_PGRS12,+,924650,924950,300,0.6333333333333333
Rv0834c,PE_PGRS14,PE-PGRS family protein PE_PGRS14,-,930485,930785,300,0.63
Rv0835,lpqQ,lipoprotein LpqQ,+,930652,930952,300,0.6366666666666667
Rv0836c,,hypothetical protein,-,932932,933002,70,0.6714285714285714
Rv0837c,,hypothetical protein,-,934031,934331,300,0.57
Rv0838,lpqR,lipoprotein LpqR,+,934419,934719,300,0.6633333333333333
Rv0839,,hypothetical protein,+,935490,935576,86,0.5348837209302325
Rv0840c,pip,proline iminopeptidase,-,937317,937592,275,0.6654545454545454
Rv0841,,transmembrane protein,+,937317,937592,275,0.6654545454545454
Rv0842,,integral membrane protein,+,937835,938111,276,0.6340579710144928
Rv0844c,narL,nitrate/nitrite response transcriptional regulator NarL,-,941106,941189,83,0.6265060240963856
Rv0845,,sensor histidine kinase NarS,+,941106,941189,83,0.6265060240963856
Rv0846c,,oxidase,-,944194,944342,148,0.581081081081081
Rv0847,lpqS,lipoprotein LpqS,+,944194,944342,148,0.581081081081081
Rv0848,cysK2,cysteine synthase CysK,+,944735,944937,202,0.6386138613861386
Rv0851c,,short-chain type dehydrogenase/reductase,-,948468,948756,288,0.6145833333333334
Rv0852,,hypothetical protein,+,948468,948756,288,0.6145833333333334
Rv0853c,pdc,alpha-keto-acid decarboxylase,-,951118,951182,64,0.640625
Rv0854,,hypothetical protein,+,951118,951182,64,0.640625
Rv0856,,hypothetical protein,+,952711,952824,113,0.6283185840707964
Rv0858c,dapC,N-succinyldiaminopimelate aminotransferase DapC,-,954920,955076,156,0.6025641025641025
Rv0859,,acyltransferase,+,954920,955076,156,0.6025641025641025
Rv0861c,ercc3,DNA helicase Ercc3,-,960151,960341,190,0.6684210526315789
Rv0862c,,hypothetical protein,-,962612,962679,67,0.6119402985074627
Rv0863,,hypothetical protein,+,962612,962679,67,0.6119402985074627
Rv0867c,rpfA,resuscitation-promoting factor RpfA,-,965535,965835,300,0.6366666666666667
Rv0870c,,integral membrane protein,-,967733,967897,164,0.6402439024390244
Rv0871,cspB,cold shock-like protein CspB,+,967733,967897,164,0.6402439024390244
Rv0872c,PE_PGRS15,PE-PGRS family protein PE_PGRS15,-,970244,970504,260,0.6192307692307693
Rv0873,fadE10,acyl-CoA dehydrogenase,+,970244,970504,260,0.6192307692307693
Rv0874c,,hypothetical protein,-,973706,973805,99,0.7272727272727273
Rv0876c,,transmembrane protein,-,975937,976074,137,0.6204379562043796
Rv0877,,hypothetical protein,+,975937,976074,137,0.6204379562043796
Rv0878c,PPE13,PPE family protein PPE13,-,978203,978480,277,0.6642599277978339
Rv0879c,,transmembrane protein,-,978756,978933,177,0.632768361581921
Rv0880,,HTH-type transcriptional regulator,+,978756,978933,177,0.632768361581921
Rv0883c,,hypothetical protein,-,981267,981423,156,0.6538461538461539
Rv0884c,serC,phosphoserine aminotransferase,-,982554,982761,207,0.6280193236714976
Rv0885,,hypothetical protein,+,982554,982761,207,0.6280193236714976
Rv0887c,,hypothetical protein,-,985971,986271,300,0.5666666666666667
Rv0888,,hypothetical protein,+,986932,987232,300,0.5833333333333334
Rv0889c,citA,citrate synthase 2,-,989861,989947,86,0.6511627906976745
Rv0891c,,hypothetical protein,-,993455,993755,300,0.6233333333333333
Rv0892,,monooxygenase,+,993552,993852,300,0.62
Rv0893c,,S-adenosylmethionine-dependent methyltransferase,-,996295,996523,228,0.5964912280701754
Rv0894,,transcriptional regulator,+,996295,996523,228,0.5964912280701754
Rv0895,,diacyglycerol O-acyltransferase,+,997705,997781,76,0.5789473684210527
Rv0896,gltA2,citrate synthase 1,+,999299,999471,172,0.6569767441860465
Rv0898c,,hypothetical protein,-,1002704,1002811,107,0.6542056074766355
Rv0899,arfA,peptidoglycan-binding protein ArfA,+,1002704,1002811,107,0.6542056074766355
Rv0901,arfC,membrane protein,+,1003792,1003956,164,0.6402439024390244
Rv0903c,prrA,two component transcriptional regulator PrrA,-,1006562,1006692,130,0.6538461538461539
Rv0907,,hypothetical protein,+,1010062,1010135,73,0.6986301369863014
Rv0909,,antitoxin,+,1014380,1014680,300,0.61
Rv0911,,hypothetical protein,+,1015300,1015397,97,0.6185567010309279
Rv0912,,transmembrane protein,+,1016171,1016235,64,0.6875
Rv0914c,,lipid carrier protein or keto acyl-CoA thiolase,-,1019965,1020057,92,0.6304347826086957
Rv0916c,PE7,PE family protein PE7,-,1021643,1021943,300,0.5433333333333333
Rv0917,betP,glycine betaine transport integral membrane protein BetP,+,1021786,1022086,300,0.5766666666666667
Rv0918,,hypothetical protein,+,1023910,1024210,300,0.67
Rv0920c,,transposase,-,1026816,1027103,287,0.6306620209059234
Rv0921,,resolvase,+,1026816,1027103,287,0.6306620209059234
Rv0925c,,hypothetical protein,-,1032633,1032709,76,0.6447368421052632
Rv0926c,,hypothetical protein,-,1033786,1033839,53,0.660377358490566
Rv0927c,,oxidoreductase,-,1034631,1034902,271,0.6014760147601476
Rv0928,pstS3,phosphate ABC transporter substrate-binding lipoprotein PstS,+,1034631,1034902,271,0.6014760147601476
Rv0932c,pstS2,phosphate ABC transporter substrate-binding lipoprotein PstS,-,1041048,1041263,215,0.627906976744186
Rv0933,pstB,phosphate ABC transporter ATP-binding protein PstB,+,1041048,1041263,215,0.627906976744186
Rv0935,pstC1,phosphate ABC transporter permease PstC,+,1043239,1043298,59,0.6779661016949152
Rv0937c,mku,non-homologous end joining protein Ku,-,1046020,1046135,115,0.5391304347826087
Rv0938,ligD,multifunctional non-homologous end joining DNA repair protein/ATP dependent DNA ligase LigD,+,1046020,1046135,115,0.5391304347826087
Rv0940c,,oxidoreductase,-,1051459,1051543,84,0.5595238095238095
Rv0946c,pgi,glucose-6-phosphate isomerase,-,1056685,1056985,300,0.6633333333333333
Rv0948c,,chorismate mutase,-,1057963,1058259,296,0.6587837837837838
Rv0949,uvrD1,ATP-dependent DNA helicase UvrD,+,1057963,1058259,296,0.6587837837837838
Rv0950c,,hypothetical protein,-,1061654,1061954,300,0.5666666666666667
Rv0951,sucC,succinyl-CoA ligase subunit beta,+,1061663,1061963,300,0.57
Rv0953c,,oxidoreductase,-,1064962,1065126,164,0.6707317073170732
Rv0954,,transmembrane protein,+,1064962,1065126,164,0.6707317073170732
Rv0956,purN,phosphoribosylglycinamide formyltransferase PurN,+,1067445,1067560,115,0.6
Rv0958,,magnesium chelatase,+,1069776,1069882,106,0.6226415094339622
Rv0959A,vapB9,antitoxin VapB9,+,1073273,1073326,53,0.4339622641509434
Rv0960,vapC9,ribonuclease VapC9,+,1073273,1073544,271,0.6088560885608856
Rv0961,,integral membrane protein,+,1073928,1074073,145,0.6
Rv0962c,lprP,lipoprotein LprP,-,1075114,1075296,182,0.6098901098901099
Rv0963c,,hypothetical protein,-,1076097,1076195,98,0.5816326530612245
Rv0964c,,hypothetical protein,-,1076678,1076777,99,0.696969696969697
Rv0966c,,hypothetical protein,-,1077835,1077974,139,0.5683453237410072
Rv0967,csoR,copper-sensing transcriptional repressor CsoR,+,1077835,1077974,139,0.5683453237410072
Rv0968,,hypothetical protein,+,1078334,1078390,56,0.625
Rv0969,ctpV,copper-exporting ATPase,+,1078687,1078742,55,0.6363636363636364
Rv0976c,,hypothetical protein,-,1090175,1090372,197,0.649746192893401
Rv0977,PE_PGRS16,PE-PGRS family protein PE_PGRS16,+,1090175,1090372,197,0.649746192893401
Rv0978c,PE_PGRS17,PE-PGRS family protein PE_PGRS17,-,1094356,1094656,300,0.64
Rv0980c,PE_PGRS18,PE-PGRS family protein PE_PGRS18,-,1096451,1096751,300,0.6033333333333334
Rv0981,mprA,two-component response regulator MrpA,+,1096521,1096821,300,0.6066666666666667
Rv0985c,mscL,large-conductance ion mechanosensitive channel,-,1101480,1101780,300,0.6333333333333333
Rv0986,,adhesion component ABC transporter ATP-binding protein,+,1101502,1101802,300,0.6166666666666667
Rv0989c,grcC2,polyprenyl-diphosphate synthase GrcC,-,1107382,1107442,60,0.5333333333333333
Rv0990c,,hypothetical protein,-,1108099,1108171,72,0.6111111111111112
Rv0991c,,hypothetical protein,-,1108504,1108577,73,0.5342465753424658
Rv0992c,,5-formyltetrahydrofolate cyclo-ligase,-,1109171,1109271,100,0.68
Rv0993,galU,UTP--glucose-1-phosphate uridylyltransferase,+,1109171,1109271,100,0.68
Rv0994,moeA1,molybdopterin molybdenumtransferase 1,+,1110192,1110268,76,0.7368421052631579
Rv0995,rimJ,ribosomal-protein-alanine acetyltransferase RimJ,+,1111549,1111611,62,0.6612903225806451
Rv0996,,transmembrane protein,+,1112223,1112383,160,0.6125
Rv0997a,,hypothetical protein,+,1113560,1113860,300,0.6233333333333333
Rv0997,,hypothetical protein,+,1114112,1114292,180,0.6611111111111111
Rv1002c,,dolichyl-phosphate-mannose--protein mannosyltransferase,-,1119939,1120021,82,0.6829268292682927
Rv1003,,rRNA small subunit methyltransferase I,+,1119939,1120021,82,0.6829268292682927
Rv1004c,,membrane protein,-,1122148,1122221,73,0.684931506849315
Rv1005c,,para-aminobenzoate synthase component I,-,1123598,1123713,115,0.6347826086956522
Rv1006,,hypothetical protein,+,1123598,1123713,115,0.6347826086956522
Rv1007c,metS,methionine--tRNA ligase,-,1127003,1127088,85,0.6941176470588235
Rv1008,tatD,deoxyribonuclease TatD,+,1127003,1127088,85,0.6941176470588235
Rv1009,rpfB,resuscitation-promoting factor RpfB,+,1127883,1128090,207,0.5748792270531401
Rv1011,ispE,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,+,1130105,1130190,85,0.6823529411764706
Rv1013,pks16,polyketide synthase,+,1131421,1131624,203,0.6059113300492611
Rv1015c,rplY,50S ribosomal protein L25/general stress protein Ctc,-,1134568,1134784,216,0.6342592592592593
Rv1017c,prsA,ribose-phosphate pyrophosphokinase,-,1136481,1136572,91,0.6373626373626373
Rv1018c,glmU,bifunctional UDP-N-acetylglucosamine pyrophosphorylase/glucosamine-1-phosphate N-acetyltransferase,-,1138060,1138314,254,0.594488188976378
Rv1019,,transcriptional regulator,+,1138060,1138314,254,0.594488188976378
Rv1020,mfd,transcription-repair coupling factor,+,1138908,1138966,58,0.6724137931034483
Rv1022,lpqU,lipoprotein LpqU,+,1143648,1143735,87,0.6091954022988506
Rv1023,eno,enolase,+,1144467,1144563,96,0.6145833333333334
Rv1028c,kdpD,sensor protein KdpD,-,1151686,1151919,233,0.6180257510729614
Rv1028A,kdpF,membrane protein KdpF,+,1151686,1151919,233,0.6180257510729614
Rv1029,kdpA,potassium-transporting ATPase subunit A,+,1151711,1152011,300,0.5933333333333334
Rv1033c,trcR,two component transcriptional regulator TrcR,-,1158736,1159036,300,0.61
Rv1038c,esxJ,ESAT-6 like protein EsxJ,-,1161151,1161296,145,0.5724137931034483
Rv1039c,PPE15,PPE family protein PPE15,-,1162472,1162548,76,0.5657894736842105
Rv1040c,PE8,PE family protein PE8,-,1163376,1163676,300,0.6033333333333334
Rv1041c,,IS2-like transposase,-,1165435,1165735,300,0.6133333333333333
Rv1042c,,IS2-like transposase,-,1165499,1165780,281,0.6014234875444839
Rv1043c,,hypothetical protein,-,1166806,1167052,246,0.6585365853658537
Rv1044,,hypothetical protein,+,1166806,1167052,246,0.6585365853658537
Rv1047,,transposase,+,1169122,1169422,300,0.5933333333333334
Rv1048c,,hypothetical protein,-,1172153,1172385,232,0.6508620689655172
Rv1049,,transcriptional repressor,+,1172153,1172385,232,0.6508620689655172
Rv1051c,,hypothetical protein,-,1174700,1175000,300,0.6533333333333333
Rv1052,,hypothetical protein,+,1175422,1175722,300,0.6266666666666667
Rv1056,,hypothetical protein,+,1177327,1177627,300,0.6233333333333333
Rv1057,,hypothetical protein,+,1179095,1179395,300,0.5766666666666667
Rv1058,fadD14,fatty-acid--CoA ligase FadD14,+,1180577,1180683,106,0.6320754716981132
Rv1059,,hypothetical protein,+,1182315,1182390,75,0.5866666666666667
Rv1060,,hypothetical protein,+,1183455,1183507,52,0.6538461538461539
Rv1063c,,NTE family protein,-,1186823,1186903,80,0.575
Rv1064c,lpqV,lipoprotein LpqV,-,1187323,1187434,111,0.5945945945945946
Rv1065,,hypothetical protein,+,1187323,1187434,111,0.5945945945945946
Rv1067c,PE_PGRS19,PE-PGRS family protein PE_PGRS19,-,1190424,1190724,300,0.5066666666666667
Rv1068c,PE_PGRS20,PE-PGRS family protein PE_PGRS20,-,1192148,1192448,300,0.5166666666666667
Rv1071c,echA9,enoyl-CoA hydratase EchA9,-,1196092,1196278,186,0.6129032258064516
Rv1072,,transmembrane protein,+,1196092,1196278,186,0.6129032258064516
Rv1073,,hypothetical protein,+,1197115,1197230,115,0.6260869565217392
Rv1074c,fadA3,beta-ketoacyl CoA thiolase FadA,-,1199373,1199425,52,0.5384615384615384
Rv1075c,,hypothetical protein,-,1200370,1200670,300,0.5466666666666666
Rv1076,lipU,lipase LipU,+,1200466,1200766,300,0.58
Rv1077,cbs,cystathionine beta-synthase,+,1201660,1201716,56,0.7321428571428571
Rv1078,,hypothetical protein,+,1203111,1203312,201,0.6268656716417911
Rv1080c,greA,transcription elongation factor GreA,-,1205798,1205983,185,0.6324324324324324
Rv1081c,,membrane protein,-,1206418,1206519,101,0.6138613861386139
Rv1082,mca,mycothiol S-conjugate amidase,+,1206418,1206519,101,0.6138613861386139
Rv1084,,hypothetical protein,+,1207386,1207635,249,0.6385542168674698
Rv1085c,,hemolysin-like protein,-,1210484,1210594,110,0.5818181818181818
Rv1086,,"(2Z,6E)-farnesyl diphosphate synthase",+,1210484,1210594,110,0.5818181818181818
Rv1087,PE_PGRS21,PE-PGRS family protein PE_PGRS21,+,1211383,1211559,176,0.5909090909090909
Rv1088,PE9,PE family protein PE9,+,1214212,1214512,300,0.49
Rv1088a,,hypothetical protein,+,1214947,1215224,277,0.6028880866425993
Rv1091,PE_PGRS22,PE-PGRS family protein PE_PGRS22,+,1216168,1216468,300,0.6166666666666667
Rv1092c,coaA,pantothenate kinase,-,1220186,1220486,300,0.6633333333333333
Rv1093,glyA1,serine hydroxymethyltransferase,+,1220273,1220573,300,0.6433333333333333
Rv1094,desA2,acyl-ACP desaturase DesA,+,1221854,1221958,104,0.6442307692307693
Rv1095,phoH2,phosphate starvation-inducible protein PsiH,+,1222786,1222996,210,0.719047619047619
Rv1096,,glycosyl hydrolase,+,1224298,1224384,86,0.6744186046511628
Rv1101c,,hypothetical protein,-,1230548,1230659,111,0.6036036036036037
Rv1103c,mazE3,antitoxin MazE3,-,1231291,1231591,300,0.6666666666666666
Rv1109c,,hypothetical protein,-,1236095,1236184,89,0.6292134831460674
Rv1110,lytB2,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,+,1236095,1236184,89,0.6292134831460674
Rv1111c,,hypothetical protein,-,1238192,1238254,62,0.6451612903225806
Rv1112,,GTP-binding protein,+,1238192,1238254,62,0.6451612903225806
Rv1113,vapB32,antitoxin VapB32,+,1239328,1239415,87,0.5632183908045977
Rv1114,vapC32,ribonuclease VapC32,+,1239328,1239609,281,0.6476868327402135
Rv1115,,hypothetical protein,+,1239984,1240186,202,0.49504950495049505
Rv1116,,hypothetical protein,+,1240885,1241002,117,0.5299145299145299
Rv1117,,hypothetical protein,+,1241332,1241632,300,0.6533333333333333
Rv1120c,,hypothetical protein,-,1243504,1243706,202,0.6881188118811881
Rv1121,zwf1,glucose-6-phosphate 1-dehydrogenase,+,1243504,1243706,202,0.6881188118811881
Rv1123c,bpoB,peroxidase BpoB,-,1247052,1247126,74,0.6351351351351351
Rv1124,ephC,epoxide hydrolase EphC,+,1247052,1247126,74,0.6351351351351351
Rv1127c,ppdK,"pyruvate, phosphate dikinase PpdK",-,1251404,1251616,212,0.6745283018867925
Rv1128c,,hypothetical protein,-,1252972,1253073,101,0.5445544554455446
Rv1133c,metE,5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase,-,1261346,1261646,300,0.67
Rv1134,,hypothetical protein,+,1261621,1261921,300,0.67
Rv1135c,PPE16,PPE family protein PPE16,-,1264128,1264428,300,0.6466666666666666
Rv1138a,,hypothetical protein,+,1264733,1265033,300,0.6866666666666666
Rv1139c,,hypothetical protein,-,1266985,1267285,300,0.6533333333333333
Rv1140,,integral membrane protein,+,1267046,1267346,300,0.6633333333333333
Rv1141c,echA11,enoyl-CoA hydratase EchA11,-,1269009,1269151,142,0.6056338028169014
Rv1142c,echA10,enoyl-CoA hydratase EchA10,-,1269958,1270061,103,0.5825242718446602
